Method,Moves,Time
"$\pi_{\theta,(64,10)}$",15.0,0.010064125061035156
"$\pi_{\theta,(64,10)}$",15.0,0.010911941528320312
"$\pi_{\theta,(64,10)}$",18.0,0.012629032135009766
"$\pi_{\theta,(64,10)}$",15.0,0.010704278945922852
"$\pi_{\theta,(64,10)}$",16.0,0.01062917709350586
"$\pi_{\theta,(64,10)}$",16.0,0.011002779006958008
"$\pi_{\theta,(64,10)}$",17.0,0.013195037841796875
"$\pi_{\theta,(64,10)}$",16.0,0.015507936477661133
"$\pi_{\theta,(64,10)}$",15.0,0.010368108749389648
"$\pi_{\theta,(64,10)}$",16.0,0.010637044906616211
"$\pi_{\theta,(64,10)}$",17.0,0.011889934539794922
"$\pi_{\theta,(64,10)}$",16.0,0.010890960693359375
"$\pi_{\theta,(64,10)}$",17.0,0.013170003890991211
"$\pi_{\theta,(64,10)}$",17.0,0.01203608512878418
"$\pi_{\theta,(64,10)}$",14.0,0.009649991989135742
"$\pi_{\theta,(64,10)}$",16.0,0.013992786407470703
"$\pi_{\theta,(64,10)}$",16.0,0.010781049728393555
"$\pi_{\theta,(64,10)}$",16.0,0.010343790054321289
"$\pi_{\theta,(64,10)}$",18.0,0.012172698974609375
"$\pi_{\theta,(64,10)}$",20.0,0.014451980590820312
"$\pi_{\theta,(64,10)}$",18.0,0.012017011642456055
"$\pi_{\theta,(64,10)}$",15.0,0.010072946548461914
"$\pi_{\theta,(64,10)}$",12.0,0.008378982543945312
"$\pi_{\theta,(64,10)}$",17.0,0.011722087860107422
"$\pi_{\theta,(64,10)}$",15.0,0.010419130325317383
"$\pi_{\theta,(64,10)}$",16.0,0.013642072677612305
"$\pi_{\theta,(64,10)}$",13.0,0.008761167526245117
"$\pi_{\theta,(64,10)}$",17.0,0.011483907699584961
"$\pi_{\theta,(64,10)}$",17.0,0.011654138565063477
"$\pi_{\theta,(64,10)}$",15.0,0.0102081298828125
"$\pi_{\theta,(64,10)}$",16.0,0.01169729232788086
"$\pi_{\theta,(64,10)}$",15.0,0.010395050048828125
"$\pi_{\theta,(64,10)}$",16.0,0.011732101440429688
"$\pi_{\theta,(64,10)}$",15.0,0.010230064392089844
"$\pi_{\theta,(64,10)}$",17.0,0.011417150497436523
"$\pi_{\theta,(64,10)}$",20.0,0.01429295539855957
"$\pi_{\theta,(64,10)}$",15.0,0.011085987091064453
"$\pi_{\theta,(64,10)}$",18.0,0.01386404037475586
"$\pi_{\theta,(64,10)}$",16.0,0.011635065078735352
"$\pi_{\theta,(64,10)}$",13.0,0.008799076080322266
"$\pi_{\theta,(64,10)}$",16.0,0.01183009147644043
"$\pi_{\theta,(64,10)}$",15.0,0.010390996932983398
"$\pi_{\theta,(64,10)}$",11.0,0.007947206497192383
"$\pi_{\theta,(64,10)}$",14.0,0.009161949157714844
"$\pi_{\theta,(64,10)}$",15.0,0.012073993682861328
"$\pi_{\theta,(64,10)}$",16.0,0.01060032844543457
"$\pi_{\theta,(64,10)}$",14.0,0.009543180465698242
"$\pi_{\theta,(64,10)}$",16.0,0.011439800262451172
"$\pi_{\theta,(64,10)}$",14.0,0.009688138961791992
"$\pi_{\theta,(64,10)}$",16.0,0.010987043380737305
"$\pi_{\theta,(64,10)}$",12.0,0.008244991302490234
"$\pi_{\theta,(64,10)}$",12.0,0.008581876754760742
"$\pi_{\theta,(64,10)}$",17.0,0.011611223220825195
"$\pi_{\theta,(64,10)}$",12.0,0.008513927459716797
"$\pi_{\theta,(64,10)}$",18.0,0.012324810028076172
"$\pi_{\theta,(64,10)}$",17.0,0.011924028396606445
"$\pi_{\theta,(64,10)}$",17.0,0.012859821319580078
"$\pi_{\theta,(64,10)}$",14.0,0.009668111801147461
"$\pi_{\theta,(64,10)}$",18.0,0.01288604736328125
