method,board,time,moves,beam_width
2lookahead,12,5.065502643585205,15,128
2lookahead,12,10.268375873565674,15,256
1lookahead,13,0.0104169845581054,18,1
1lookahead,13,0.0186407566070556,18,2
1lookahead,13,0.0383884906768798,18,4
1lookahead,13,0.0707399845123291,17,8
1lookahead,13,0.1301789283752441,15,16
1lookahead,13,0.2596502304077148,14,32
1lookahead,13,0.4920904636383056,14,64
1lookahead,13,0.8703994750976562,14,128
1lookahead,13,1.7706222534179688,14,256
1lookahead,13,3.6008293628692627,14,512
1lookahead,13,7.055188417434692,14,1024
1lookahead,13,13.093782901763916,14,2048
2lookahead,13,0.0597884654998779,16,1
2lookahead,13,0.1032896041870117,14,2
2lookahead,13,0.1889805793762207,14,4
2lookahead,13,0.3794357776641845,14,8
2lookahead,13,0.769989013671875,14,16
2lookahead,13,1.4497034549713137,14,32
2lookahead,13,2.6091041564941406,14,64
2lookahead,13,4.8697638511657715,14,128
2lookahead,13,9.79623794555664,14,256
2lookahead,13,20.357839345932007,14,512
1lookahead,14,0.0170049667358398,25,1
1lookahead,14,0.0278389453887939,20,2
1lookahead,14,0.0542471408843994,22,4
1lookahead,14,0.086219310760498,16,8
1lookahead,14,0.1730697154998779,17,16
1lookahead,14,0.3478434085845947,16,32
1lookahead,14,0.657158613204956,16,64
1lookahead,14,1.2511565685272217,16,128
1lookahead,14,2.4514591693878174,16,256
1lookahead,14,4.924826383590698,16,512
1lookahead,14,9.882186889648438,16,1024
1lookahead,14,18.23068046569824,16,2048
2lookahead,14,0.0846998691558837,17,1
2lookahead,14,0.1531727313995361,17,2
2lookahead,14,0.2824549674987793,17,4
2lookahead,14,0.5117063522338867,16,8
2lookahead,14,1.0391349792480469,16,16
2lookahead,14,2.120227575302124,16,32
2lookahead,14,3.9930245876312256,16,64
2lookahead,14,7.407722234725952,16,128
2lookahead,14,14.480228424072266,15,256
1lookahead,15,0.0083980560302734,16,1
1lookahead,15,0.0173070430755615,16,2
1lookahead,15,0.0303914546966552,15,4
1lookahead,15,0.0572719573974609,15,8
1lookahead,15,0.1027967929840087,13,16
1lookahead,15,0.2144255638122558,13,32
1lookahead,15,0.3924596309661865,13,64
1lookahead,15,0.8124322891235352,13,128
1lookahead,15,1.612053632736206,13,256
1lookahead,15,3.263676404953003,13,512
1lookahead,15,6.294469118118286,13,1024
1lookahead,15,12.116671323776243,13,2048
2lookahead,15,0.0452077388763427,16,1
2lookahead,15,0.0798113346099853,15,2
2lookahead,15,0.1543235778808593,15,4
2lookahead,15,0.2828855514526367,13,8
2lookahead,15,0.5677998065948486,13,16
2lookahead,15,1.1733036041259766,13,32
2lookahead,15,2.052882194519043,13,64
2lookahead,15,3.9495089054107666,13,128
2lookahead,15,8.096343517303467,13,256
2lookahead,15,16.80524492263794,13,512
1lookahead,16,0.012674331665039,21,1
1lookahead,16,0.0223989486694335,19,2
1lookahead,16,0.0424942970275878,18,4
1lookahead,16,0.087674856185913,18,8
1lookahead,16,0.170628547668457,18,16
1lookahead,16,0.3524632453918457,18,32
1lookahead,16,0.6888768672943115,17,64
1lookahead,16,1.2611002922058103,17,128
1lookahead,16,2.589881181716919,17,256
1lookahead,16,5.206267595291138,17,512
1lookahead,16,10.441911697387695,17,1024
2lookahead,16,0.0853757858276367,19,1
2lookahead,16,0.1480274200439453,19,2
2lookahead,16,0.2846956253051758,18,4
2lookahead,16,0.5535504817962646,18,8
2lookahead,16,1.1214609146118164,18,16
2lookahead,16,2.264397621154785,17,32
2lookahead,16,4.207603216171265,17,64
2lookahead,16,7.901677131652832,17,128
2lookahead,16,15.693669319152832,18,256
1lookahead,17,0.0076141357421875,15,1
1lookahead,17,0.0129036903381347,13,2
1lookahead,17,0.0246682167053222,13,4
1lookahead,17,0.0485427379608154,13,8
1lookahead,17,0.1004197597503662,13,16
1lookahead,17,0.2010416984558105,13,32
1lookahead,17,0.3740401268005371,13,64
1lookahead,17,0.7613966464996338,13,128
1lookahead,17,1.4854686260223389,13,256
1lookahead,17,3.020607233047486,13,512
1lookahead,17,5.656859397888184,13,1024
1lookahead,17,11.0080406665802,13,2048
2lookahead,17,0.0409953594207763,13,1
2lookahead,17,0.067317247390747,13,2
2lookahead,17,0.1282236576080322,13,4
2lookahead,17,0.2598075866699219,13,8
2lookahead,17,0.5333600044250488,13,16
2lookahead,17,1.0951411724090576,13,32
2lookahead,17,1.923995018005371,13,64
2lookahead,17,3.5560009479522705,13,128
2lookahead,17,7.24189829826355,13,256
2lookahead,17,15.244966745376589,13,512
1lookahead,18,0.0110673904418945,20,1
1lookahead,18,0.0200963020324707,18,2
1lookahead,18,0.0352308750152587,17,4
1lookahead,18,0.0671818256378173,17,8
1lookahead,18,0.1330976486206054,17,16
1lookahead,18,0.2623763084411621,17,32
1lookahead,18,0.4765079021453857,16,64
1lookahead,18,0.9682784080505372,16,128
1lookahead,18,1.907771348953247,16,256
1lookahead,18,3.727552890777588,15,512
1lookahead,18,7.115784406661987,15,1024
1lookahead,18,13.5423104763031,15,2048
2lookahead,18,0.0567007064819335,17,1
2lookahead,18,0.0919973850250244,17,2
2lookahead,18,0.1746714115142822,17,4
2lookahead,18,0.3362293243408203,17,8
2lookahead,18,0.6613767147064209,15,16
2lookahead,18,1.3666603565216064,15,32
2lookahead,18,2.4240074157714844,15,64
2lookahead,18,4.524199962615967,15,128
2lookahead,18,9.17334246635437,15,256
2lookahead,18,18.853782176971436,15,512
1lookahead,19,0.010244607925415,16,1
1lookahead,19,0.0177030563354492,15,2
1lookahead,19,0.0410192012786865,18,4
1lookahead,19,0.0643513202667236,14,8
1lookahead,19,0.1289639472961425,14,16
1lookahead,19,0.2987174987792969,14,32
1lookahead,19,0.4866673946380615,14,64
1lookahead,19,0.9336352348327636,14,128
1lookahead,19,1.9079713821411133,14,256
1lookahead,19,3.914557933807373,14,512
1lookahead,19,7.509195804595947,14,1024
1lookahead,19,14.378315448760986,14,2048
2lookahead,19,0.06170654296875,15,1
2lookahead,19,0.1043677330017089,14,2
2lookahead,19,0.1898360252380371,15,4
2lookahead,19,0.3786146640777588,14,8
2lookahead,19,0.7643368244171143,14,16
2lookahead,19,1.5678155422210691,14,32
2lookahead,19,2.8040199279785156,14,64
2lookahead,19,5.267834901809692,14,128
2lookahead,19,10.485639810562134,14,256
1lookahead,20,0.0117995738983154,19,1
1lookahead,20,0.0192618370056152,16,2
1lookahead,20,0.028942584991455,14,4
1lookahead,20,0.0573756694793701,14,8
1lookahead,20,0.1168844699859619,14,16
1lookahead,20,0.2358098030090332,14,32
1lookahead,20,0.4345607757568359,14,64
1lookahead,20,0.8734793663024902,13,128
1lookahead,20,1.682567119598389,13,256
1lookahead,20,3.4087440967559814,13,512
1lookahead,20,6.540764808654785,13,1024
1lookahead,20,12.525249719619753,13,2048
2lookahead,20,0.0563864707946777,16,1
2lookahead,20,0.0983636379241943,16,2
2lookahead,20,0.1778006553649902,14,4
2lookahead,20,0.3385334014892578,14,8
2lookahead,20,0.674426794052124,14,16
2lookahead,20,1.3844797611236572,13,32
2lookahead,20,2.4732179641723633,13,64
2lookahead,20,4.664078235626221,13,128
2lookahead,20,9.215401887893677,13,256
2lookahead,20,19.004860401153564,13,512
1lookahead,21,0.013089895248413,23,1
1lookahead,21,0.0244159698486328,23,2
1lookahead,21,0.0464975833892822,22,4
1lookahead,21,0.0859272480010986,21,8
1lookahead,21,0.171682596206665,20,16
1lookahead,21,0.3455135822296142,20,32
1lookahead,21,0.5949597358703613,16,64
1lookahead,21,1.0677998065948486,16,128
1lookahead,21,2.1530134677886963,16,256
1lookahead,21,4.297629594802856,15,512
1lookahead,21,8.115979671478271,15,1024
1lookahead,21,15.528634071350098,15,2048
2lookahead,21,0.070000410079956,20,1
2lookahead,21,0.1225309371948242,20,2
2lookahead,21,0.2364954948425293,20,4
2lookahead,21,0.4694581031799316,20,8
2lookahead,21,0.9324915409088136,19,16
2lookahead,21,1.7146658897399902,16,32
2lookahead,21,3.0840742588043213,16,64
2lookahead,21,5.814726829528809,16,128
2lookahead,21,11.418619871139526,15,256
1lookahead,22,0.0120182037353515,18,1
1lookahead,22,0.0199885368347167,16,2
1lookahead,22,0.0425786972045898,16,4
1lookahead,22,0.0686097145080566,14,8
1lookahead,22,0.1387407779693603,14,16
1lookahead,22,0.2863566875457763,14,32
1lookahead,22,0.5270175933837891,14,64
1lookahead,22,1.0176427364349363,14,128
1lookahead,22,2.0008351802825928,14,256
1lookahead,22,4.0759758949279785,14,512
1lookahead,22,8.023808717727661,14,1024
1lookahead,22,15.088149547576904,14,2048
2lookahead,22,0.0655796527862548,17,1
2lookahead,22,0.1183063983917236,16,2
2lookahead,22,0.2087554931640625,14,4
2lookahead,22,0.4169127941131592,14,8
2lookahead,22,0.8459317684173584,14,16
2lookahead,22,1.7396736145019531,14,32
2lookahead,22,3.024326801300049,14,64
2lookahead,22,5.781801462173462,14,128
2lookahead,22,11.81167721748352,14,256
1lookahead,23,0.0096206665039062,18,1
1lookahead,23,0.0167973041534423,16,2
1lookahead,23,0.0330338478088378,17,4
1lookahead,23,0.0645713806152343,16,8
1lookahead,23,0.1328468322753906,16,16
1lookahead,23,0.265796422958374,16,32
1lookahead,23,0.494032621383667,15,64
1lookahead,23,1.0004115104675293,15,128
1lookahead,23,1.9658052921295168,15,256
1lookahead,23,3.991758584976196,15,512
1lookahead,23,7.689067363739014,15,1024
1lookahead,23,14.6961350440979,15,2048
2lookahead,23,0.0578386783599853,18,1
2lookahead,23,0.0970544815063476,16,2
2lookahead,23,0.1818766593933105,16,4
2lookahead,23,0.3592965602874756,16,8
2lookahead,23,0.7378690242767334,16,16
2lookahead,23,1.5736260414123535,15,32
2lookahead,23,2.728912591934204,15,64
2lookahead,23,5.184668302536011,15,128
2lookahead,23,10.373208999633787,15,256
1lookahead,24,0.0076746940612792,17,1
1lookahead,24,0.0139241218566894,17,2
1lookahead,24,0.0255141258239746,16,4
1lookahead,24,0.0526707172393798,16,8
1lookahead,24,0.1029183864593505,16,16
1lookahead,24,0.1997203826904297,16,32
1lookahead,24,0.3729965686798095,15,64
1lookahead,24,0.7355716228485107,15,128
1lookahead,24,1.517019271850586,14,256
1lookahead,24,2.93807315826416,14,512
1lookahead,24,5.450749158859253,13,1024
1lookahead,24,10.383111000061035,12,2048
2lookahead,24,0.0324032306671142,15,1
2lookahead,24,0.0576474666595459,16,2
2lookahead,24,0.1148819923400878,16,4
2lookahead,24,0.2255206108093261,16,8
2lookahead,24,0.4427938461303711,14,16
2lookahead,24,0.8968663215637207,14,32
2lookahead,24,1.6258277893066406,14,64
2lookahead,24,3.15370774269104,14,128
2lookahead,24,6.2166242599487305,12,256
2lookahead,24,12.513121843338013,12,512
1lookahead,25,0.0110492706298828,20,1
1lookahead,25,0.0182900428771972,18,2
1lookahead,25,0.0329585075378418,15,4
1lookahead,25,0.0665392875671386,14,8
1lookahead,25,0.129331350326538,14,16
1lookahead,25,0.2646107673645019,14,32
1lookahead,25,0.4987683296203613,14,64
1lookahead,25,1.009873628616333,14,128
1lookahead,25,1.978951930999756,14,256
1lookahead,25,3.975344896316528,14,512
1lookahead,25,7.6652512550354,14,1024
1lookahead,25,14.56878423690796,14,2048
2lookahead,25,0.0589339733123779,18,1
2lookahead,25,0.1132850646972656,18,2
2lookahead,25,0.2168531417846679,18,4
2lookahead,25,0.4039287567138672,15,8
