method,board,time,moves,beam_width
1lookahead,92,0.0148859024047851,17.0,2
1lookahead,93,0.0241186618804931,21.0,2
1lookahead,94,0.020669937133789,20.0,2
1lookahead,95,0.0169208049774169,19.0,2
1lookahead,96,0.0205209255218505,18.0,2
1lookahead,97,0.0070600509643554,12.0,2
1lookahead,98,0.0170621871948242,17.0,2
1lookahead,99,0.0207529067993164,21.0,2
1lookahead,0,0.0360269546508789,17.0,4
1lookahead,1,0.0229718685150146,14.0,4
1lookahead,2,0.025010347366333,16.0,4
1lookahead,3,0.0344119071960449,17.0,4
1lookahead,4,0.0231592655181884,14.0,4
1lookahead,5,0.0254387855529785,14.0,4
1lookahead,6,0.0250120162963867,15.0,4
1lookahead,7,0.0344040393829345,16.0,4
1lookahead,8,0.0239899158477783,16.0,4
1lookahead,9,0.021838903427124,13.0,4
1lookahead,10,0.0437221527099609,21.0,4
1lookahead,11,0.0222797393798828,12.0,4
1lookahead,12,0.0302770137786865,16.0,4
1lookahead,13,0.0395641326904296,18.0,4
1lookahead,14,0.0427191257476806,18.0,4
1lookahead,15,0.0188679695129394,13.0,4
1lookahead,16,0.0234501361846923,14.0,4
1lookahead,17,0.0278840065002441,16.0,4
1lookahead,18,0.0251441001892089,15.0,4
1lookahead,19,0.036823034286499,18.0,4
1lookahead,20,0.0326800346374511,16.0,4
1lookahead,21,0.0326671600341796,17.0,4
1lookahead,22,0.0329120159149169,14.0,4
1lookahead,23,0.0225729942321777,15.0,4
1lookahead,24,0.03273606300354,16.0,4
1lookahead,25,0.0285091400146484,17.0,4
1lookahead,26,0.0375208854675293,20.0,4
1lookahead,27,0.0336410999298095,15.0,4
1lookahead,28,0.0331127643585205,16.0,4
1lookahead,29,0.0329856872558593,15.0,4
1lookahead,30,0.0199480056762695,14.0,4
1lookahead,31,0.0254378318786621,14.0,4
1lookahead,32,0.0417158603668212,19.0,4
1lookahead,33,0.0265312194824218,16.0,4
1lookahead,34,0.0416069030761718,19.0,4
1lookahead,35,0.0394399166107177,21.0,4
1lookahead,36,0.0309860706329345,16.0,4
1lookahead,37,0.0505101680755615,20.0,4
1lookahead,38,0.0247859954833984,13.0,4
1lookahead,39,0.0276846885681152,14.0,4
1lookahead,40,0.0328569412231445,17.0,4
1lookahead,41,0.0216026306152343,13.0,4
1lookahead,42,0.0220141410827636,13.0,4
1lookahead,43,0.0289790630340576,16.0,4
1lookahead,44,0.0231080055236816,14.0,4
1lookahead,45,0.0298092365264892,16.0,4
1lookahead,46,0.0322959423065185,18.0,4
1lookahead,47,0.0379810333251953,17.0,4
1lookahead,48,0.0295488834381103,16.0,4
1lookahead,49,0.0311338901519775,16.0,4
1lookahead,50,0.0285518169403076,15.0,4
1lookahead,51,0.0400869846343994,19.0,4
1lookahead,52,0.0224339962005615,15.0,4
1lookahead,53,0.0323009490966796,18.0,4
1lookahead,54,0.0412402153015136,19.0,4
1lookahead,55,0.0386743545532226,19.0,4
1lookahead,56,0.0421149730682373,20.0,4
1lookahead,57,0.0387592315673828,18.0,4
1lookahead,58,0.0252070426940917,15.0,4
1lookahead,59,0.0265538692474365,16.0,4
1lookahead,60,0.0248308181762695,16.0,4
1lookahead,61,0.0371818542480468,19.0,4
1lookahead,62,0.0231082439422607,14.0,4
1lookahead,63,0.0380342006683349,15.0,4
1lookahead,64,0.0447628498077392,20.0,4
1lookahead,65,0.0387670993804931,19.0,4
1lookahead,66,0.0200080871582031,14.0,4
1lookahead,67,0.0279631614685058,16.0,4
1lookahead,68,0.0360579490661621,20.0,4
1lookahead,69,0.0302438735961914,17.0,4
1lookahead,70,0.0370330810546875,17.0,4
1lookahead,71,0.0413668155670166,18.0,4
1lookahead,72,0.0385990142822265,18.0,4
1lookahead,73,0.0256531238555908,15.0,4
1lookahead,74,0.0307340621948242,19.0,4
1lookahead,75,0.0318179130554199,19.0,4
1lookahead,76,0.0452449321746826,21.0,4
1lookahead,77,0.0244581699371337,16.0,4
1lookahead,78,0.0350751876831054,19.0,4
1lookahead,79,0.028203010559082,15.0,4
1lookahead,80,0.0243370532989501,16.0,4
1lookahead,81,0.0312020778656005,15.0,4
1lookahead,82,0.0274455547332763,16.0,4
1lookahead,83,0.0288519859313964,16.0,4
1lookahead,84,0.0286080837249755,15.0,4
1lookahead,85,0.0233521461486816,14.0,4
1lookahead,86,0.0326170921325683,17.0,4
1lookahead,87,0.0382721424102783,19.0,4
1lookahead,88,0.0293869972229003,16.0,4
1lookahead,89,0.024242877960205,14.0,4
1lookahead,90,0.0385518074035644,17.0,4
1lookahead,91,0.0332028865814209,17.0,4
1lookahead,92,0.0271201133728027,16.0,4
1lookahead,93,0.0378129482269287,16.0,4
1lookahead,94,0.0371532440185546,18.0,4
1lookahead,95,0.0320360660552978,18.0,4
1lookahead,96,0.0399720668792724,18.0,4
1lookahead,97,0.0142788887023925,12.0,4
1lookahead,98,0.033128023147583,16.0,4
1lookahead,99,0.0391590595245361,18.0,4
1lookahead,0,0.0624530315399169,15.0,8
1lookahead,1,0.0455448627471923,14.0,8
1lookahead,2,0.0478847026824951,15.0,8
1lookahead,3,0.0653169155120849,16.0,8
1lookahead,4,0.0448219776153564,14.0,8
1lookahead,5,0.0481088161468505,14.0,8
1lookahead,6,0.0499219894409179,15.0,8
1lookahead,7,0.0671088695526123,16.0,8
1lookahead,8,0.0408852100372314,14.0,8
1lookahead,9,0.0411210060119628,13.0,8
1lookahead,10,0.1304502487182617,18.0,8
1lookahead,11,0.042043924331665,11.0,8
1lookahead,12,0.0538821220397949,15.0,8
1lookahead,13,0.0754721164703369,18.0,8
1lookahead,14,0.0821998119354248,18.0,8
1lookahead,15,0.036888837814331,13.0,8
1lookahead,16,0.0449118614196777,14.0,8
1lookahead,17,0.0545551776885986,16.0,8
1lookahead,18,0.0475189685821533,14.0,8
1lookahead,19,0.073481798171997,18.0,8
1lookahead,20,0.0595240592956543,17.0,8
1lookahead,21,0.0640959739685058,17.0,8
1lookahead,22,0.064371109008789,14.0,8
1lookahead,23,0.0421962738037109,15.0,8
1lookahead,24,0.0581190586090087,15.0,8
1lookahead,25,0.0509860515594482,16.0,8
1lookahead,26,0.0691242218017578,17.0,8
1lookahead,27,0.0582180023193359,14.0,8
1lookahead,28,0.0650732517242431,16.0,8
1lookahead,29,0.0648770332336425,15.0,8
1lookahead,30,0.0315940380096435,11.0,8
1lookahead,31,0.0498161315917968,14.0,8
1lookahead,32,0.0781781673431396,18.0,8
1lookahead,33,0.0511858463287353,16.0,8
1lookahead,34,0.0834031105041503,19.0,8
1lookahead,35,0.0763859748840332,21.0,8
1lookahead,36,0.0591859817504882,16.0,8
1lookahead,37,0.0962889194488525,19.0,8
1lookahead,38,0.049757957458496,13.0,8
1lookahead,39,0.0619928836822509,17.0,8
1lookahead,40,0.0676510334014892,18.0,8
1lookahead,41,0.041996955871582,13.0,8
1lookahead,42,0.0426409244537353,14.0,8
1lookahead,43,0.0549490451812744,15.0,8
1lookahead,44,0.045699119567871,14.0,8
1lookahead,45,0.0575463771820068,16.0,8
1lookahead,46,0.0517387390136718,15.0,8
1lookahead,47,0.0738160610198974,17.0,8
1lookahead,48,0.0580348968505859,16.0,8
1lookahead,49,0.0590922832489013,15.0,8
1lookahead,50,0.0554041862487793,15.0,8
1lookahead,51,0.0649609565734863,17.0,8
1lookahead,52,0.0443189144134521,15.0,8
1lookahead,53,0.0631279945373535,18.0,8
1lookahead,54,0.0797832012176513,19.0,8
1lookahead,55,0.0735354423522949,19.0,8
1lookahead,56,0.0827147960662841,20.0,8
1lookahead,57,0.0767221450805664,18.0,8
1lookahead,58,0.0427870750427246,13.0,8
1lookahead,59,0.0499730110168457,14.0,8
1lookahead,60,0.0473840236663818,15.0,8
1lookahead,61,0.0688021183013916,18.0,8
1lookahead,62,0.045414924621582,14.0,8
1lookahead,63,0.0749008655548095,17.0,8
1lookahead,64,0.0714349746704101,17.0,8
1lookahead,65,0.0699000358581543,18.0,8
1lookahead,66,0.0378990173339843,14.0,8
1lookahead,67,0.0550909042358398,16.0,8
1lookahead,68,0.0661571025848388,18.0,8
1lookahead,69,0.0586109161376953,17.0,8
1lookahead,70,0.0711700916290283,17.0,8
1lookahead,71,0.0733909606933593,18.0,8
1lookahead,72,0.0731205940246582,18.0,8
1lookahead,73,0.0465619564056396,15.0,8
1lookahead,74,0.0597672462463378,19.0,8
1lookahead,75,0.0604090690612793,18.0,8
1lookahead,76,0.0882179737091064,20.0,8
1lookahead,77,0.0470309257507324,15.0,8
