method,board,time,moves
w32d5,16,0.0069513320922851,16
w32d5,16,0.019881248474121,15
w32d5,16,0.0379271507263183,14
w32d5,16,0.511655330657959,13
w32d5,16,1.4504210948944092,12
w32d5,17,0.0072040557861328,17
w32d5,17,0.0129179954528808,16
w32d5,17,0.3890700340270996,15
w32d5,17,1.466458082199097,14
w32d5,18,0.0065500736236572,15
w32d5,18,0.1029980182647705,14
w32d5,18,0.1537389755249023,13
w32d5,18,20.41707491874695,12
w32d5,19,0.0086808204650878,19
w32d5,19,0.1018629074096679,17
w32d5,19,4.680207967758179,16
w32d5,20,0.0076918601989746,18
w32d5,20,0.0212516784667968,17
w32d5,20,0.0281207561492919,16
w32d5,20,0.1667237281799316,15
w32d5,20,0.7977967262268066,14
w32d5,20,11.434584617614746,13
w32d5,21,0.0078809261322021,18
w32d5,21,0.0234246253967285,17
w32d5,21,0.0370688438415527,16
w32d5,21,0.042764663696289,14
w32d5,21,0.1945738792419433,13
w32d5,22,0.0081992149353027,19
w32d5,22,0.0152530670166015,18
w32d5,22,0.1020252704620361,17
w32d5,22,0.3388190269470215,16
w32d5,22,0.4405801296234131,15
w32d5,22,0.4806993007659912,14
w32d5,22,3.941938161849976,13
w32d5,23,0.0070681571960449,16
w32d5,23,0.0523293018341064,15
w32d5,23,0.5243701934814453,14
w32d5,24,0.0092298984527587,18
w32d5,24,0.02398681640625,16
w32d5,24,0.2191479206085205,15
w32d5,24,0.4231190681457519,14
w32d5,25,0.0090701580047607,17
w32d5,25,0.297760009765625,16
w32d5,25,4.188504219055176,15
w32d5,26,0.0084810256958007,19
w32d5,26,0.0550222396850585,18
w32d5,26,0.1046102046966552,17
w32d5,26,1.2552623748779297,16
w32d5,26,6.2839531898498535,15
w32d5,27,0.0088939666748046,20
w32d5,27,0.0163748264312744,19
w32d5,27,0.0965449810028076,18
w32d5,27,0.103238821029663,17
w32d5,27,0.1412317752838134,16
w32d5,27,0.2628118991851806,15
w32d5,27,0.3095066547393799,14
w32d5,28,0.0099389553070068,18
w32d5,28,0.0430471897125244,17
w32d5,28,0.0675163269042968,16
w32d5,28,1.346339225769043,15
w32d5,28,3.95500111579895,14
w32d5,29,0.0076091289520263,16
w32d5,29,0.2402000427246093,15
w32d5,29,2.5464930534362793,14
w32d5,30,0.0059127807617187,13
w32d5,30,0.0866839885711669,12
w32d5,30,0.1989319324493408,11
w32d5,30,1.1835541725158691,10
w32d5,31,0.0094978809356689,15
w32d5,31,0.5679466724395752,14
w32d5,31,0.6892988681793213,13
w32d5,32,0.0086908340454101,20
w32d5,32,0.2069709300994873,17
w32d5,33,0.0067372322082519,15
w32d5,33,0.6632430553436279,14
w32d5,34,0.0078957080841064,17
w32d5,34,0.9824938774108888,16
w32d5,35,0.0151386260986328,21
w32d5,35,0.0262978076934814,19
w32d5,35,0.0883309841156005,18
w32d5,35,0.1214766502380371,17
w32d5,35,0.3025887012481689,16
w32d5,35,0.3183217048645019,15
w32d5,35,25.710264682769775,14
w32d5,36,0.0108861923217773,18
w32d5,36,0.0259022712707519,17
w32d5,36,0.0503811836242675,16
w32d5,36,0.1016960144042968,15
w32d5,36,0.91550612449646,14
w32d5,37,0.0112011432647705,23
w32d5,37,0.0202431678771972,20
w32d5,37,0.0286910533905029,19
w32d5,37,0.3208861351013183,18
w32d5,37,5.243748903274536,17
