method,board,time,moves
w32d5,59,0.0073451995849609,16
w32d5,59,0.7512891292572021,15
w32d5,59,3.8518950939178462,14
w32d5,60,0.012836217880249,17
w32d5,60,1.1656010150909424,16
w32d5,60,8.507232189178467,15
w32d5,61,0.0077700614929199,19
w32d5,61,0.0521991252899169,18
w32d5,61,0.1515240669250488,17
w32d5,61,0.3484561443328857,15
w32d5,62,0.0118651390075683,16
w32d5,62,0.1989610195159912,15
w32d5,62,0.2057540416717529,14
w32d5,63,0.0078170299530029,19
w32d5,63,0.0149099826812744,18
w32d5,63,0.046616792678833,17
w32d5,63,0.1796827316284179,16
w32d5,63,0.4559097290039062,15
w32d5,63,3.368433952331543,14
w32d5,63,7.091035842895508,13
w32d5,64,0.0141997337341308,19
w32d5,64,0.1244239807128906,18
w32d5,64,0.1634199619293213,16
w32d5,64,4.084007978439331,15
w32d5,65,0.0126848220825195,17
w32d5,65,0.0240468978881835,16
w32d5,65,0.0938739776611328,15
w32d5,65,0.2639257907867431,14
w32d5,66,0.0070748329162597,14
w32d5,67,0.0132989883422851,18
w32d5,67,0.0244841575622558,16
w32d5,67,0.0350122451782226,15
w32d5,67,0.0696959495544433,14
w32d5,68,0.0066440105438232,16
w32d5,68,0.02024507522583,15
w32d5,68,0.0328280925750732,14
w32d5,68,0.1924428939819336,13
w32d5,69,0.0135612487792968,18
w32d5,69,0.0250720977783203,16
w32d5,69,0.0986182689666748,15
w32d5,69,0.288912296295166,14
w32d5,69,2.7517871856689453,13
w32d5,70,0.0089600086212158,17
w32d5,70,0.017787218093872,16
w32d5,70,0.0542378425598144,15
w32d5,70,0.0993971824645996,14
w32d5,70,0.2766001224517822,13
w32d5,71,0.014606237411499,19
w32d5,71,0.0436842441558837,17
w32d5,71,0.1220791339874267,16
w32d5,71,0.188978910446167,15
w32d5,72,0.0141401290893554,18
w32d5,72,0.4413599967956543,17
w32d5,72,2.933759927749634,16
w32d5,73,0.0141079425811767,19
w32d5,73,0.0253992080688476,16
w32d5,73,0.4400200843811035,15
w32d5,73,1.9236390590667725,14
w32d5,74,0.010200023651123,19
w32d5,74,0.1273541450500488,18
w32d5,74,0.1929771900177002,17
w32d5,75,0.0136919021606445,19
w32d5,75,0.0246391296386718,16
w32d5,75,0.1113450527191162,15
w32d5,75,1.9858038425445557,14
w32d5,75,2.585953950881958,13
w32d5,76,0.0066390037536621,16
w32d5,76,0.4388420581817627,15
w32d5,76,2.766972064971924,14
w32d5,77,0.011721134185791,15
w32d5,77,0.0363690853118896,14
w32d5,78,0.0158939361572265,22
w32d5,78,0.0274810791015625,20
w32d5,78,0.0502669811248779,19
w32d5,78,0.2604689598083496,18
w32d5,78,0.5097200870513916,17
w32d5,78,4.748727083206177,16
w32d5,79,0.0166800022125244,19
w32d5,79,0.0283479690551757,18
w32d5,79,0.1098029613494873,17
w32d5,79,0.7473490238189697,15
w32d5,80,0.0079958438873291,14
w32d5,80,0.0292680263519287,13
w32d5,80,0.1754801273345947,11
w32d5,81,0.0101230144500732,16
w32d5,81,0.0769803524017334,14
w32d5,81,4.805273056030273,13
w32d5,82,0.0127482414245605,17
w32d5,82,0.0538032054901123,15
w32d5,82,0.2617781162261963,14
w32d5,82,0.8634169101715088,13
w32d5,82,4.617844104766846,12
w32d5,83,0.0076260566711425,17
w32d5,83,0.0513749122619628,16
w32d5,83,0.7202908992767334,15
w32d5,83,3.4494738578796387,14
w32d5,84,0.0105059146881103,19
w32d5,84,0.0271551609039306,17
w32d5,84,0.283419132232666,16
w32d5,84,0.7459650039672852,15
w32d5,84,4.558574914932251,14
w32d5,85,0.01104736328125,17
w32d5,85,0.072174072265625,16
w32d5,85,0.0959553718566894,15
w32d5,85,0.8777410984039307,14
w32d5,86,0.0131158828735351,15
w32d5,86,0.0233979225158691,14
w32d5,86,0.4840419292449951,13
w32d5,86,3.633065938949585,12
w32d5,87,0.0138900279998779,16
w32d5,87,0.0404360294342041,15
w32d5,87,0.093686819076538,14
w32d5,87,4.053354024887085,13
w32d5,87,6.865127086639404,12
w32d5,88,0.0083141326904296,18
w32d5,88,0.0497310161590576,17
w32d5,88,0.1576077938079834,15
w32d5,88,0.5946197509765625,13
w32d5,89,0.0100672245025634,20
w32d5,89,0.0225050449371337,19
w32d5,89,0.03460693359375,18
w32d5,89,0.3074290752410888,17
w32d5,89,0.6933410167694092,16
w32d5,89,2.602864980697632,15
w32d5,89,5.966375112533569,14
w32d5,90,0.0098319053649902,21
w32d5,90,0.0488269329071044,20
w32d5,90,0.0577149391174316,19
w32d5,90,0.0750651359558105,18
w32d5,90,1.4761009216308594,17
w32d5,91,0.0071449279785156,15
w32d5,91,2.361720085144043,14
w32d5,92,0.0076878070831298,16
w32d5,92,0.1410417556762695,15
w32d5,92,4.713698863983154,14
w32d5,93,0.0097301006317138,21
w32d5,93,0.0174038410186767,19
w32d5,93,0.042011022567749,17
w32d5,93,0.0570781230926513,16
w32d5,93,0.6424820423126221,15
w32d5,94,0.0073509216308593,16
w32d5,95,0.0082728862762451,17
w32d5,95,0.0152328014373779,15
w32d5,95,0.0209608078002929,13
w32d5,95,0.2089729309082031,12
w32d5,96,0.0090229511260986,18
w32d5,96,0.0361149311065673,16
w32d5,96,1.0588228702545166,15
w32d5,96,6.968171119689941,14
w32d5,97,0.0080828666687011,17
w32d5,97,0.017827033996582,16
w32d5,97,0.1630358695983886,15
w32d5,97,2.8706722259521484,14
w32d5,98,0.0098669528961181,15
w32d5,98,0.1249897480010986,14
w32d5,98,0.2488918304443359,13
w32d5,98,4.22979474067688,12
w32d5,99,0.0155091285705566,18
w32d5,99,0.0236711502075195,15
w32d5,99,1.496201992034912,14
w32d5,99,4.721307277679443,13
w32d5,100,0.0140478610992431,17
w32d5,100,0.0247249603271484,13
w32d5,100,2.112967014312744,12
w32d5,101,0.01043701171875,18
w32d5,101,0.0193128585815429,16
w32d5,101,1.724452018737793,15
w32d5,101,2.830597162246704,14
w32d5,102,0.0112452507019042,17
w32d5,102,0.1714770793914795,16
w32d5,102,0.2385971546173095,15
w32d5,102,1.2795701026916504,13
w32d5,103,0.0137748718261718,16
w32d5,103,1.3636229038238523,15
w32d5,103,3.1588079929351807,14
w32d5,104,0.0104029178619384,20
w32d5,104,0.0285279750823974,19
w32d5,104,0.0373809337615966,18
w32d5,104,0.0580041408538818,17
w32d5,104,0.1104190349578857,15
w32d5,104,3.618276834487915,14
w32d5,105,0.0148301124572753,17
w32d5,105,0.1857979297637939,15
w32d5,106,0.008833885192871,16
w32d5,106,0.139178991317749,15
w32d5,106,0.8869180679321289,14
w32d5,107,0.0148108005523681,16
w32d5,107,0.1460118293762207,14
w32d5,107,0.5515670776367188,13
w32d5,107,6.176542043685913,12
w32d5,108,0.0112571716308593,17
w32d5,108,0.1589498519897461,15
w32d5,108,1.5093162059783936,14
w32d5,109,0.0111701488494873,18
w32d5,109,0.0208241939544677,17
w32d5,109,0.0325078964233398,16
w32d5,109,0.1045739650726318,15
w32d5,109,4.211541175842285,14
w32d5,110,0.0176289081573486,19
w32d5,110,0.0496759414672851,18
w32d5,110,0.0866487026214599,17
w32d5,110,0.1136789321899414,16
w32d5,110,0.2854399681091308,15
w32d5,111,0.0157358646392822,21
w32d5,111,0.0385029315948486,20
w32d5,111,0.0532228946685791,19
w32d5,111,0.1174118518829345,18
w32d5,111,6.032601833343506,17
w32d5,112,0.0091559886932373,14
w32d5,112,0.6162941455841064,12
w32d5,113,0.0095617771148681,18
w32d5,113,0.0186827182769775,16
w32d5,113,4.436971664428711,15
w32d5,114,0.0104689598083496,19
w32d5,114,0.0389509201049804,17
w32d5,114,0.0471768379211425,15
w32d5,114,1.7124028205871582,14
