Method,Moves,Time
Random,30.0,0.0007588863372802734
Random,32.0,0.0008158683776855469
Random,29.0,0.0007150173187255859
Random,30.0,0.0007612705230712891
Random,24.0,0.0006239414215087891
Random,25.0,0.0006539821624755859
Random,26.0,0.0006749629974365234
Random,31.0,0.0007500648498535156
Random,28.0,0.0007560253143310547
Random,26.0,0.0006420612335205078
Random,28.0,0.0006821155548095703
Random,32.0,0.0007789134979248047
Random,30.0,0.000743865966796875
Random,22.0,0.0005450248718261719
Random,28.0,0.0007181167602539062
Random,26.0,0.0006768703460693359
Random,29.0,0.0007140636444091797
Random,26.0,0.0006999969482421875
Random,23.0,0.0005769729614257812
Random,28.0,0.0007081031799316406
Random,32.0,0.0008149147033691406
Random,34.0,0.0008950233459472656
Random,29.0,0.0007600784301757812
Random,23.0,0.0005888938903808594
Random,26.0,0.0006661415100097656
Random,28.0,0.000682830810546875
Random,31.0,0.0007741451263427734
Random,31.0,0.0007898807525634766
Random,33.0,0.0008356571197509766
Random,30.0,0.0007071495056152344
Random,35.0,0.0008580684661865234
Random,33.0,0.0008077621459960938
Random,33.0,0.000843048095703125
Random,36.0,0.0008671283721923828
Random,31.0,0.0007920265197753906
Random,31.0,0.0008020401000976562
